Words,,,,Idioms,Phrases,Sentences,Others
n.,v.,adj.,adv.
accountability(n.)問責,administer(v.)掌管,abstract(adj.)抽象,inevitably(adv.)必然的,come under fire(v.)被批評,a great amount of N.[U],Happiness lies in contentment.,
advocacy(n.)提倡,charge(v.)指控,adjacent(adj.)鄰近的,ironically(adv.)諷刺地,rev up(v.)加速；提高；起飛；振奮；使情緒高漲,attribute sth. to sth. 歸因於,,
agility(n.)敏捷,coin(v.)創造,ample(adj.)大量或更多,occasionally(adv.)偶爾地,impulse buying(n.)衝動購物,be comprised of = be made of,,
amateur(n.)素人,consummate(adj.)完美的 (v.)完善,authentic(adj.)道地的,unanimously(adv.)一致的,spontaneous purchase(n.)即興購買,be devoid of = be lack of,,
antics(n.)滑稽,content(v.)滿足,benign(adj.)和善的,,buyer's remorse(n.)購買者後悔,be justified to Ving = 做…是合理的,,
asset(n.)有價值的東西,cultivate(v.)栽培；種植,concentrated(adj.)密集的,,instant gratification(n.)即時滿足,be subject to = 受…的控制,,
atrocity(n.)暴行,deposit(v.)存錢到銀行,"conversely(adj.)相反地 衍：adversely, counter, opposite",,shopping spree(n.)瘋狂購物,confess to N./Ving = admit = candid = own up 坦白,,
brochure(n.)手冊,deter(v.)威嚇,deficient(adj.)不足的,,buyer's high(n.)購物快感,deprive from 被剝奪,,
column(n.)專欄,dub(v.)稱…為,evident(adj.)明顯的,,retail therapy(n.)購物療法,endow with 被賦予,,
consent(n.)同意,dull(v.)使失去…,grim(adj.)悲觀的 = pessimistic,,window shopping(n.)逛街、看橱窗,engage in sth.從事,,
consistency(n.)一致性；質地,empower(v.)授權,grueling(adj.)令人疲累的,,guilty pleasure(n.)心痛的享受,engage in 從事,,
contentment(n.)滿足,entitle(v.)賦予,imperative(adj.)極為重要的,,unplanned purchase(n.)非計劃購買,from the cradle to the grave=lifetime ,,
coriander(n.)香草,exploit(v.)剝削,imposing(adj.)驚人的,,,give sb. credit for sth. 因…給…讚許,,
cradle(n.)搖籃,hone(v.)磨練,impulsive(adj.)衝動的,,,in terms of就…而論,,
credit(n.)學分[C]；讚許，賒帳[U],illuminate(v.)照亮,intricate(adj.)錯綜複雜的,,,not to mention 更不用說,,
critter(n.)小動物,indulge(v.)放縱,irresistible(adj.)不可抗拒的,,,on no account 絕不,,
cumin(n.)孜然,insert(v.)放,monetary(adj.)和錢相關的,,,regard to 考慮到 衍：delve into = research on研究,,
demonstration(n.)示範,integrate(v.)融入,neutral(adj.)中立的,,,release from hospital 出院,,
deposit(n.)存款,maneuver(v.)滑順華麗的操作,notorious(adj.)臭名昭著,,,resort to N./Ving = take action,,
dilemma(n.)困境,oblige(v.)有義務+to,prone(adj.)傾向,,,stagger from A to B,,
disdain(n.)鄙視,perplex(v.)困惑,robust(adj.)強壯健康的；富有味道的,,,to sum up 總結,,
dispute(n.)紛爭,pierce(v.)穿刺進,sarcastic(adj.)諷刺的,,,turn the other cheek轉過臉頰=忍耐包容,,
excerpt(n.)摘錄片段,resonate(v.)引起共鳴,tempting(adj.)誘人的,,,yield to = concede to = make concession to = give in to,,
fare(n.)票價,"revise(v.)修正 衍：amend, correct, modify",wary(adj.)謹慎的 = careful,,,,,
foible(n.)怪癖,specify(v.)指明,,,,,,
furniture(n.)家具,splurge(v.)揮霍、大津花費,,,,,,
gland(n.)腺體,stagger(v.)步履蹣跚,,,,,,
grave(n.)墳墓,unveil(v.)告訴,,,,,,
growth(n.)腫瘤,yield(v.)產生；讓步,,,,,,
guests(n.)賓客,,,,,,,
hue(n.)色調,,,,,,,
indicator(n.),,,,,,,
infancy(n.)起步階段,,,,,,,
leverage(n.)力量,,,,,,,
medallion(n.)獎牌；紀念章,,,,,,,
medium(n.)媒介 = agent,,,,,,,
offspring(n.)後代,,,,,,,
pabulum(n.)精神糧食,,,,,,,
pigment(n.)天然染色劑,,,,,,,
plight(n.)困境,,,,,,,
plot(n.)情節,,,,,,,
punctuation(n.)標點符號,,,,,,,
regime(n.)政權,,,,,,,
regret(n.)後悔,,,,,,,
reservoir(n.)水庫,,,,,,,
resin(n.)樹脂,,,,,,,
resort(v.)採取(n.)度假勝地,,,,,,,
sanctuary(n.)避難所,,,,,,,
script(n.)劇本,,,,,,,
sentiment(n.)感傷,,,,,,,
splinter(n.)尖碎片,,,,,,,
stance(n.)立場,,,,,,,
stew(n.)燉肉,,,,,,,
synthetic(n.)人造模仿天然物,,,,,,,
tactic(n.)手法,,,,,,,
temptation(n.)誘惑,,,,,,,
tradeoff(n.)妥協,,,,,,,
trio(n.)三個人或三件事,,,,,,,
turmeric(n.)薑黃,,,,,,,
ultimatum(n.)最後通牒,,,,,,,
union(n.)工會，聯盟 衍：combination,,,,,,,
uproar(n.)反對聲浪,,,,,,,
vain(adj.)虛榮的 (n.)空虛,,,,,,,
visa(n.)簽證,,,,,,,
wharf(n.)碼頭,,,,,,,
yacht(n.)遊艇,,,,,,,
